order_item_id,order_id,product_id,quantity,unit_price
1,113,21,3,76.24
2,230,16,2,54.53
3,174,27,5,105.08
4,90,30,5,124.99
5,67,9,2,176.95
6,1,20,5,47.36
7,26,8,1,214.07
8,221,29,5,128.81
9,85,21,2,72.61
10,237,4,4,110.11
11,36,23,4,184.45
12,169,22,2,25.28
13,48,18,2,193.49
14,181,21,4,65.35
15,159,21,2,72.61
16,267,11,3,31.96
17,213,2,1,65.12
18,277,19,2,71.51
19,74,24,1,73.33
20,11,14,2,27.07
21,244,27,4,94.57
22,40,6,3,56.12
23,285,1,3,33.19
24,142,20,1,47.36
25,91,10,4,63.12
26,297,18,5,193.49
27,100,29,2,122.37
28,197,15,3,157.68
29,193,26,1,63.43
30,232,6,4,58.93
31,112,9,2,176.95
32,109,24,3,73.33
33,79,19,2,75.27
34,295,20,4,42.62
35,139,17,3,63.15
36,155,13,1,119.18
37,241,5,4,64.3
38,59,30,2,119.04
39,100,9,4,176.95
40,300,15,3,157.68
41,105,10,5,63.12
42,263,19,1,75.27
43,300,21,3,76.24
44,169,8,1,214.07
45,36,4,4,110.11
46,58,6,4,58.93
47,57,17,3,66.31
48,9,4,3,110.11
49,46,20,2,47.36
50,203,5,4,64.3
51,47,15,5,157.68
52,39,14,5,24.36
53,136,25,5,149.92
54,47,27,2,105.08
55,29,22,5,25.28
56,168,17,4,59.99
57,60,23,3,184.45
58,160,30,5,119.04
59,168,2,5,58.92
60,277,7,5,104.04
61,10,5,2,64.3
62,27,28,5,198.07
63,195,4,2,115.62
64,57,19,4,75.27
65,241,29,5,115.93
66,171,26,1,57.09
67,15,5,5,57.87
68,160,15,5,157.68
69,200,18,4,225.74
70,268,26,3,66.6
71,186,1,4,34.94
72,116,27,1,110.33
73,20,7,5,109.52
74,32,2,4,62.02
75,7,23,1,175.23
76,27,2,1,55.82
77,156,2,3,55.82
78,11,6,2,58.93
79,209,24,4,73.33
80,298,29,4,115.93
81,26,28,4,198.07
82,4,3,5,187.24
83,214,21,3,72.61
84,233,6,5,50.51
85,193,17,2,66.31
86,249,8,1,203.88
87,51,10,4,63.12
88,230,24,5,66.0
89,63,18,4,214.99
90,227,8,4,203.88
91,53,5,3,64.3
92,272,30,1,119.04
93,111,26,4,60.26
94,233,25,1,142.78
95,250,7,1,109.52
96,234,20,1,42.62
97,238,20,1,47.36
98,217,24,1,66.0
99,203,15,2,149.8
100,44,7,1,109.52
101,76,17,3,63.15
102,171,27,5,105.08
103,233,19,5,79.03
104,161,27,3,105.08
105,293,10,2,63.12
106,253,17,2,56.84
107,182,10,3,60.11
108,235,18,5,225.74
109,182,30,2,124.99
110,179,22,4,24.02
111,126,16,1,54.53
112,217,21,4,68.98
113,27,11,4,27.4
114,2,5,3,57.87
115,286,6,5,50.51
116,231,8,2,203.88
117,204,28,2,198.07
118,224,30,1,113.09
119,92,14,4,25.72
120,221,17,0,56.84
121,5,8,3,203.88
122,123,11,1,27.4
123,175,28,3,220.08
124,267,18,2,214.99
125,52,9,4,185.8
126,161,20,5,47.36
127,236,28,1,220.08
128,51,26,5,66.6
129,196,22,5,25.28
130,166,16,2,54.53
131,233,10,1,60.11
132,60,30,2,124.99
133,56,4,4,110.11
134,40,23,5,193.67
135,219,7,4,109.52
136,31,18,3,214.99
137,59,13,4,113.22
138,76,21,3,72.61
139,172,9,3,168.1
140,149,29,4,115.93
141,227,4,4,110.11
142,160,30,2,119.04
143,37,11,4,30.44
144,136,19,2,79.03
145,50,5,1,64.3
146,32,18,5,204.24
147,276,24,4,73.33
148,38,5,2,64.3
149,180,8,4,193.69
150,12,27,2,94.57
151,283,18,3,214.99
152,177,25,4,149.92
153,287,21,4,65.35
154,251,6,3,56.12
155,121,5,5,57.87
156,111,6,5,58.93
157,262,2,5,62.02
158,3,27,1,110.33
159,138,2,1,55.82
160,32,5,2,64.3
161,228,23,2,184.45
162,153,7,5,98.57
163,127,12,1,146.39
164,73,21,5,65.35
165,276,22,4,25.28
166,194,1,5,33.19
167,91,14,1,27.07
168,213,17,3,59.99
169,56,10,1,57.1
170,202,27,4,105.08
171,118,4,1,104.6
172,168,5,2,64.3
173,269,20,5,47.36
174,44,27,3,105.08
175,81,26,4,63.43
176,274,12,4,138.69
177,262,19,2,79.03
178,284,8,3,214.07
179,201,27,1,110.33
180,206,28,1,220.08
181,162,13,4,107.26
182,212,18,4,214.99
183,111,21,1,76.24
184,215,6,1,50.51
185,272,28,4,231.08
186,191,26,3,60.26
187,57,28,1,209.08
188,42,30,1,119.04
189,93,7,5,98.57
190,108,9,1,176.95
191,203,22,3,24.02
192,99,19,1,75.27
193,47,30,3,119.04
194,13,7,5,109.52
195,220,25,4,142.78
196,216,10,2,57.1
197,285,8,5,183.49
198,275,22,5,25.28
199,53,13,2,125.14
200,32,24,1,69.66
201,120,24,3,73.33
202,62,4,4,110.11
203,213,27,1,105.08
204,29,20,5,44.99
205,144,13,3,119.18
206,132,21,3,65.35
207,95,16,2,54.53
208,195,18,4,193.49
209,152,6,5,58.93
210,78,13,1,113.22
211,64,10,2,63.12
212,121,3,1,187.24
