order_id,customer_id,order_date,status
1,48,2025-11-18,completed
2,4,2026-05-04,cancelled
3,34,2025-06-11,completed
4,33,2025-03-24,completed
5,5,2025-03-11,completed
6,26,2025-05-03,cancelled
7,16,2025-02-10,cancelled
8,6,2026-03-06,cancelled
9,37,2026-06-20,completed
10,17,2025-07-29,completed
11,16,2025-09-29,pending
12,9,2025-11-04,pending
13,21,2025-03-16,completed
14,30,2026-07-31,completed
15,5,2026-07-05,completed
16,33,2025-09-29,completed
17,23,2025-03-12,Completed
18,24,2025-10-19,completed
19,29,2026-07-11,completed
20,40,2026-06-26,completed
21,43,2026-07-22,completed
22,43,2025-04-17,completed
23,17,2025-04-29,completed
24,48,2026-07-21,completed
25,18,2025-10-16,cancelled
26,14,2025-12-18,completed
27,44,2025-09-28,cancelled
28,32,2025-09-15,completed
29,6,2026-03-10,completed
30,3,2025-01-04,completed
31,50,2025-05-14,completed
32,11,2026-03-29,cancelled
33,46,2026-03-14,cancelled
34,1,2025-04-25,completed
35,45,2025-06-02,cancelled
36,3,2026-01-14,cancelled
37,36,2025-06-01,pending
38,9,2025-02-12,completed
39,24,2025-02-10,completed
40,14,2025-09-13,completed
41,23,2026-07-28,pending
42,40,2025-06-08,completed
43,11,2025-07-01,pending
44,2,2025-07-03,completed
45,27,2025-09-12,completed
46,11,2025-04-21,pending
47,3,2026-04-27,completed
48,13,2026-04-17,completed
49,20,2025-08-22,completed
50,2,2025-07-17,pending
51,22,2025-10-13,completed
52,50,2025-10-13,completed
53,42,2026-06-06,pending
54,44,2026-07-04,completed
55,2,2025-04-29,completed
56,12,2025-09-29,completed
57,7,2026-03-21,completed
58,47,2025-11-18,pending
59,39,2026-06-08,completed
60,25,2025-07-14,completed
61,3,2026-03-23,completed
62,34,2026-07-06,completed
63,24,2026-03-18,completed
64,43,2025-12-05,cancelled
65,21,2025-05-08,completed
66,33,2025-11-13,pending
67,21,2026-02-17,completed
68,36,2025-05-11,completed
69,27,2026-01-24,completed
70,40,2025-11-05,pending
71,36,2025-01-01,completed
