payment_id,order_id,payment_method,amount,payment_date
1,1,apple_pay,236.8,2025-11-20
2,2,card,392.65,2026-05-06
3,3,card,110.33,2025-06-13
4,4,invoice,1724.97,2025-03-25
5,5,invoice,611.64,2025-03-13
6,6,card,99.57,2025-05-05
7,7,paypal,175.23,2025-02-10
8,8,paypal,702.39,2026-03-08
9,9,paypal,384.43,2026-06-22
10,10,apple_pay,179.16,2025-07-30
11,11,apple_pay,471.84,2025-09-30
12,12,invoice,189.14,2025-11-05
13,13,paypal,916.5,2025-03-17
14,14,apple_pay,1159.8,2026-08-02
15,15,card,507.18,2026-07-07
16,16,paypal,601.49,2025-09-29
17,17,paypal,292.02,2025-03-14
18,18,card,561.72,2025-10-20
19,19,card,119.04,2026-07-12
20,20,paypal,2341.68,2026-06-27
21,21,paypal,146.39,2026-07-24
22,22,paypal,1861.29,2025-04-18
23,23,paypal,406.56,2025-05-01
24,24,invoice,204.7,2026-07-21
25,25,invoice,674.08,2025-10-18
26,26,apple_pay,1156.27,2025-12-18
27,27,paypal,1304.96,2025-09-30
28,28,invoice,553.35,2025-09-17
29,29,card,1451.75,2026-03-12
30,30,apple_pay,1166.27,2025-01-06
31,31,paypal,1181.27,2025-05-15
32,32,apple_pay,1467.54,2026-03-30
33,33,card,167.2,2026-03-15
34,34,invoice,160.57,2025-04-27
35,35,invoice,1152.73,2025-06-03
36,36,apple_pay,1293.98,2026-01-16
37,37,paypal,231.87,2025-06-03
38,38,paypal,582.16,2025-02-14
39,39,invoice,232.32,2025-02-10
40,40,card,1483.4,2025-09-14
41,41,invoice,729.54,2026-07-29
42,42,Card,519.65,2025-06-10
43,43,invoice,108.28,2025-07-03
44,44,paypal,788.47,2025-07-05
45,45,card,220.08,2025-09-14
46,46,paypal,481.15,2025-04-21
47,47,paypal,2073.35,2026-04-27
48,48,paypal,998.83,2026-04-18
49,49,paypal,197.6,2025-08-23
50,50,paypal,351.48,2025-07-19
51,51,card,1662.44,2025-10-14
52,52,card,743.2,2025-10-14
53,53,card,488.17,2026-06-08
54,54,invoice,595.22,2026-07-05
55,55,card,1305.44,2025-05-01
56,56,apple_pay,1136.92,2025-10-01
57,57,paypal,709.09,2026-03-23
58,58,card,235.72,2025-11-19
59,59,invoice,2036.45,2026-06-08
60,60,paypal,862.26,2025-07-14
61,61,apple_pay,51.44,2026-03-24
62,62,paypal,620.77,2026-07-06
63,63,invoice,1165.65,2026-03-20
64,64,apple_pay,576.0,2025-12-05
65,65,invoice,1610.64,2025-05-09
66,66,card,693.24,2025-11-14
67,67,apple_pay,2073.78,2026-02-17
68,68,invoice,1260.95,2025-05-12
69,69,invoice,473.04,2026-01-24
70,70,card,569.38,2025-11-06
71,71,apple_pay,385.78,2025-01-01
72,72,apple_pay,447.75,2025-08-06
73,73,apple_pay,666.96,2025-11-27
74,74,apple_pay,405.33,2026-03-30
75,75,card,431.76,2026-04-30
76,76,invoice,1111.32,2025-03-30
77,77,paypal,376.35,2025-12-12
78,78,paypal,602.68,2025-08-29
79,79,invoice,650.64,2025-07-25
80,80,card,748.3,2025-02-17
81,81,invoice,910.38,2025-03-18
82,82,paypal,180.78,2025-07-19
83,83,invoice,827.8,2026-02-15
84,84,apple_pay,163.59,2025-01-06
85,85,paypal,271.52,2026-03-14
86,86,card,104.82,2026-06-15
87,87,paypal,588.57,2026-07-25
88,88,apple_pay,468.16,2026-04-14
89,89,paypal,410.3,2026-06-30
90,90,invoice,2034.53,2025-11-22
91,91,apple_pay,279.55,2026-06-02
92,92,invoice,102.88,2026-04-03
93,93,apple_pay,1881.55,2026-05-02
94,94,invoice,152.2,2025-09-11
95,95,invoice,109.06,2026-06-18
96,96,card,301.3,2025-09-02
97,97,invoice,719.08,2025-03-23
98,98,paypal,739.18,2025-10-06
99,99,card,75.27,2026-07-10
100,100,paypal,952.54,2025-06-05
101,101,card,363.05,2025-06-08
102,102,card,673.66,2026-03-03
103,103,card,754.96,2026-07-12
104,104,card,472.85,2025-03-07
105,105,card,753.68,2026-02-03
106,106,apple_pay,703.8,2025-01-22
107,107,card,589.61,2026-05-05
108,108,paypal,176.95,2025-11-04
109,109,invoice,809.85,2026-07-07
110,110,card,530.85,2025-08-14
111,111,apple_pay,1305.31,2025-10-08
112,112,card,530.69,2025-02-01
113,113,paypal,999.22,2026-02-21
114,114,invoice,1850.18,2025-05-13
115,115,card,539.72,2025-01-29
116,116,card,1677.55,2026-08-03
117,117,card,965.47,2026-03-16
118,118,apple_pay,177.98,2025-07-06
119,119,invoice,102.88,2026-01-24
120,120,invoice,920.71,2026-04-12
121,121,apple_pay,919.58,2026-01-25
122,122,invoice,463.91,2026-03-09
123,123,apple_pay,27.4,2026-04-27
124,124,apple_pay,922.25,2026-07-07
125,125,invoice,255.59,2025-08-19
126,126,card,54.53,2025-02-11
127,127,card,146.39,2025-07-26
128,128,apple_pay,185.8,2025-06-06
129,129,card,488.32,2026-04-30
130,130,card,238.36,2025-08-14
131,131,card,151.1,2025-09-22
132,132,invoice,465.59,2025-04-29
133,133,paypal,189.44,2025-04-22
134,134,apple_pay,575.0,2025-11-17
135,135,card,657.04,2026-01-20
136,136,card,1274.31,2025-07-23
137,137,paypal,125.16,2025-09-07
138,138,paypal,55.82,2025-11-07
139,139,card,189.45,2026-08-04
140,140,card,1432.62,2026-06-30
141,141,invoice,794.83,2026-01-15
142,142,invoice,475.12,2025-12-18
143,143,paypal,297.65,2026-05-18
144,144,paypal,602.94,2026-01-07
145,145, paypal ,375.42,2025-06-08
146,146,paypal,318.76,2026-06-20
147,147,card,161.36,2026-07-06
148,148,apple_pay,226.32,2026-03-24
149,149,paypal,874.57,2025-11-28
150,150,apple_pay,219.04,2025-10-14
151,151,invoice,762.2,2026-04-22
152,152,invoice,1440.53,2026-01-24
153,153,card,492.85,2026-05-24
154,154,card,162.3,2026-05-15
155,155,apple_pay,1232.54,2025-09-23
156,156,apple_pay,1407.62,2025-10-12
157,157,apple_pay,299.95,2026-06-14
158,158,card,562.83,2025-09-06
159,159,invoice,476.33,2026-07-25
160,160,apple_pay,1621.68,2026-05-04
161,161,apple_pay,1340.14,2025-01-18
162,162,card,454.32,2025-08-16
163,163,paypal,213.24,2025-09-07
164,164,paypal,186.06,2026-01-15
165,165,invoice,799.89,2026-06-28
166,166,paypal,453.47,2026-07-20
167,167,card,2016.73,2026-04-12
168,168,invoice,881.28,2025-09-16
169,169,paypal,705.07,2025-07-18
170,170,apple_pay,163.59,2026-07-05
171,171,card,956.97,2025-08-10
172,172,invoice,504.3,2026-06-22
173,173,apple_pay,108.28,2025-04-15
174,174,invoice,1021.52,2025-08-22
175,175,apple_pay,1226.34,2025-11-06
176,176,invoice,367.6,2026-07-02
177,177,paypal,928.24,2025-02-17
178,178,invoice,69.88,2025-10-27
179,179,apple_pay,242.47,2026-05-20
180,180,invoice,1138.78,2025-10-20
181,181,apple_pay,1015.08,2026-03-28
182,182,apple_pay,525.03,2025-02-23
183,183,apple_pay,308.2,2025-04-27
184,184,paypal,284.08,2026-05-20
185,185,apple_pay,748.96,2025-02-24
186,186,card,1328.01,2026-08-02
187,187,apple_pay,214.93,2025-09-12
188,188,card,1073.06,2026-03-04
189,189,card,1029.17,2025-08-22
190,190,paypal,1138.5,2026-04-07
191,191,invoice,636.13,2026-03-18
192,192,apple_pay,814.27,2025-03-05
193,193,paypal,196.05,2025-04-13
194,194,invoice,165.95,2025-08-05
195,195,paypal,1005.2,2025-03-26
196,196,apple_pay,385.07,2025-06-29
197,197,paypal,599.44,2025-06-12
198,198,apple_pay,47.36,2026-04-09
199,199,card,1047.38,2025-10-26
200,200,invoice,902.96,2025-10-25
201,201,paypal,110.33,2026-04-10
202,202,paypal,420.32,2025-08-29
203,203,paypal,919.3,2025-07-24
204,204,card,958.94,2026-07-14
205,205,invoice,308.19,2025-06-02
206,206,invoice,1027.39,2025-03-16
207,207,apple_pay,337.04,2025-11-13
208,208,paypal,1554.07,2025-10-23
209,209,invoice,850.72,2026-04-27
210,210,card,242.98,2026-02-17
211,211,invoice,476.66,2026-07-08
212,212,invoice,997.92,2025-03-25
213,213,paypal,2055.42,2026-03-21
214,214,apple_pay,690.87,2025-09-14
215,215,card,869.26,2025-08-23
216,216,apple_pay,183.86,2025-01-23
217,217,invoice,341.92,2025-02-13
218,218,card,256.02,2026-06-17
219,219,card,1567.8,2025-07-07
220,220,apple_pay,854.8,2026-05-21
221,221,apple_pay,1602.15,2025-12-25
222,222,invoice,1318.76,2025-11-27
223,223,invoice,315.75,2025-12-06
224,224,invoice,1718.41,2026-05-25
225,225,apple_pay,589.8,2026-02-15
226,226,paypal,290.52,2026-04-13
227,227,apple_pay,1758.72,2025-09-18
228,228,invoice,964.48,2026-02-19
229,229,apple_pay,104.82,2026-07-11
230,230,paypal,1028.86,2025-02-26
231,231,invoice,880.8,2026-01-07
232,232,apple_pay,1524.69,2026-05-26
233,233,paypal,1988.12,2025-02-24
234,234,paypal,42.62,2026-07-19
235,235,invoice,1822.15,2026-03-27
236,236,invoice,1392.31,2025-01-30
237,237,paypal,842.8,2025-06-14
238,238,paypal,296.38,2025-01-17
239,239,invoice,429.98,2025-04-08
240,240,invoice,660.76,2026-04-20
241,241,paypal,836.85,2025-06-09
242,242,card,578.5,2025-10-28
243,243,apple_pay,663.64,2025-10-08
